# fluera-phrases v2 lang=en built=2026-05-20 sha256=fbbf5185bf722d7d63a39380eefa36f18f85fc8cd2fa8be74a72cc4610c38621 rows=15501
phrase	domains	kind
aaa domain	med	medical
aaa proteins	med	medical
abandoned child	med	medical
abbreviated injury scale	med	medical
abbreviations as topic	med	medical
abdominal abscess	med	medical
abdominal aorta	med	medical
abdominal aorta dissection	med	medical
abdominal aortic aneurysm	med	medical
abdominal cavity	med	medical
abdominal core	med	medical
abdominal fat	med	medical
abdominal fibromatosis	med	medical
abdominal hernia	med	medical
abdominal injuries	med	medical
abdominal muscles	med	medical
abdominal neoplasms	med	medical
abdominal obesity	med	medical
abdominal oblique muscles	med	medical
abdominal pain	med	medical
abdominal pregnancy	med	medical
abdominal radiography	med	medical
abdominal reflex	med	medical
abdominal subcutaneous fat	med	medical
abdominal wall	med	medical
abdominal wound closure techniques	med	medical
abducens nerve	med	medical
abducens nerve diseases	med	medical
abducens nerve injury	med	medical
abducens nucleus	med	medical
abelson murine leukemia virus	med	medical
aberrant crypt foci	med	medical
abiraterone acetate	med	medical
abl genes	med	medical
ablation techniques	med	medical
abnormal erythrocytes	med	medical
abnormal fibrinogens	med	medical
abnormal hemoglobins	med	medical
abnormal involuntary movement scale	med	medical
abnormal karyotype	med	medical
abnormal reflex	med	medical
aborted fetus	med	medical
abortifacient agents	med	medical
abortion applicants	med	medical
abruptio placentae	med	medical
abscisic acid	med	medical
absence epilepsy	med	medical
absorbable gelatin sponge	med	medical
absorbable implants	med	medical
absorbent pads	med	medical
abstracting and indexing	med	medical
academic dissertation	med	medical
academic dissertations as topic	med	medical
academic failure	med	medical
academic medical centers	med	medical
academic performance	med	medical
academic success	med	medical
academies and institutes	med	medical
acalculous cholecystitis	med	medical
acanthamoeba castellanii	med	medical
acanthamoeba keratitis	med	medical
acanthosis nigricans	med	medical
accelerated idioventricular rhythm	med	medical
acceptance and commitment therapy	med	medical
access to healthy foods	med	medical
access to information	med	medical
access to primary care	med	medical
accessory atrioventricular bundle	med	medical
accessory nerve	med	medical
accessory nerve diseases	med	medical
accessory nerve injuries	med	medical
accident insurance	med	medical
accident prevention	med	medical
accident proneness	med	medical
accidental falls	med	medical
accidental injuries	med	medical
account book	med	medical
accountable care organizations	med	medical
accounts payable and receivable	med	medical
acellular dermis	med	medical
acellular vaccines	med	medical
acetaldehyde dehydrogenase inhibitors	med	medical
acetate kinase	med	medical
acetic acid	med	medical
acetic anhydrides	med	medical
acetoin dehydrogenase	med	medical
acetolactate synthase	med	medical
acetrizoic acid	med	medical
acetylcholine release inhibitors	med	medical
achilles tendon	med	medical
acholeplasma laidlawii	med	medical
achromobacter cycloclastes	med	medical
achromobacter denitrificans	med	medical
acid anhydride hydrolases	med	medical
acid ceramidase	med	medical
acid phosphatase	med	medical
acid rain	med	medical
acid sensing ion channels	med	medical
acidic amino acids	med	medical
acidic glycosphingolipids	med	medical
acidithiobacillus thiooxidans	med	medical
acidophil adenoma	med	medical
acidulated phosphate fluoride	med	medical
acinar cell carcinoma	med	medical
acinar cells	med	medical
acinetobacter baumannii	med	medical
acinetobacter calcoaceticus	med	medical
acinetobacter infections	med	medical
acne conglobata	med	medical
acne keloid	med	medical
acne vulgaris	med	medical
acneiform eruptions	med	medical
aconitate hydratase	med	medical
aconitic acid	med	medical
acoustic impedance tests	med	medical
acoustic maculae	med	medical
acoustic microscopy	med	medical
acoustic neuroma	med	medical
acoustic reflex	med	medical
acoustic rhinometry	med	medical
acoustic stimulation	med	medical
acquired dyslexia	med	medical
acquired ear deformities	med	medical
acquired foot deformities	med	medical
acquired hand deformities	med	medical
acquired hyperostosis syndrome	med	medical
acquired immunodeficiency syndrome	med	medical
acquired joint deformities	med	medical
acquired nose deformities	med	medical
acridine orange	med	medical
acrocallosal syndrome	med	medical
acromioclavicular joint	med	medical
acrosome reaction	med	medical
acrylic resins	med	medical
actin capping proteins	med	medical
actin cytoskeleton	med	medical
actin depolymerizing factors	med	medical
acting out	med	medical
actinic keratosis	med	medical
actinobacillus equuli	med	medical
actinobacillus infections	med	medical
actinobacillus pleuropneumoniae	med	medical
actinobacillus seminis	med	medical
actinobacillus suis	med	medical
actinoid series elements	med	medical
actinomyces viscosus	med	medical
actinomycetales infections	med	medical
action potentials	med	medical
action spectrum	med	medical
activated killer monocytes	med	medical
activating transcription factors	med	medical
activation analysis	med	medical
activator appliances	med	medical
active biological transport	med	medical
active euthanasia	med	medical
active immunity	med	medical
active immunotherapy	med	medical
activin receptors	med	medical
activities of daily living	med	medical
activity cycles	med	medical
actuarial analysis	med	medical
actus reus	-	latin
acupuncture analgesia	med	medical
acupuncture points	med	medical
acupuncture therapy	med	medical
acute abdomen	med	medical
acute aortic syndrome	med	medical
acute care surgery	med	medical
acute chest syndrome	med	medical
acute cholecystitis	med	medical
acute coronary syndrome	med	medical
acute disease	med	medical
acute disseminated encephalomyelitis	med	medical
acute febrile encephalopathy	med	medical
acute generalized exanthematous pustulosis	med	medical
acute hemorrhagic conjunctivitis	med	medical
acute hemorrhagic leukoencephalitis	med	medical
acute hemorrhagic pancreatitis	med	medical
acute intermittent porphyria	med	medical
acute kidney injury	med	medical
acute kidney tubular necrosis	med	medical
acute liver failure	med	medical
acute lung injury	med	medical
acute necrotizing pancreatitis	med	medical
acute pain	med	medical
acute radiation syndrome	med	medical
acute retinal necrosis syndrome	med	medical
acute retroviral syndrome	med	medical
acute toxicity tests	med	medical
acyclic acids	med	medical
acyclic hydrocarbons	med	medical
acyclic monoterpenes	med	medical
acyl carrier protein	med	medical
ad hoc	-	latin
ad hominem	-	latin
ad infinitum	-	latin
ad interim	-	latin
ad nauseam	-	latin
adam proteins	med	medical
adamts proteins	med	medical
adaptive algorithms	med	medical
adaptive clinical trial	med	medical
adaptive immunity	med	medical
adaptor protein complex subunits	med	medical
addiction medicine	med	medical
addictive behavior	med	medical
addison disease	med	medical
adenine nucleotides	med	medical
adenine phosphoribosyltransferase	med	medical
adenocarcinoma in situ	med	medical
adenocarcinoma of lung	med	medical
adenoid cystic carcinoma	med	medical
adenomatoid tumor	med	medical
adenomatous polyposis coli	med	medical
adenomatous polyposis coli protein	med	medical
adenomatous polyps	med	medical
adenophorea infections	med	medical
adenosine deaminase	med	medical
adenosine deaminase inhibitors	med	medical
adenosine diphosphate	med	medical
adenosine diphosphate glucose	med	medical
adenosine diphosphate ribose	med	medical
adenosine diphosphate sugars	med	medical
adenosine kinase	med	medical
adenosine monophosphate	med	medical
adenosine phosphosulfate	med	medical
adenosine triphosphatases	med	medical
adenosine triphosphate	med	medical
adenosquamous carcinoma	med	medical
adenosylmethionine decarboxylase	med	medical
adenoviridae infections	med	medical
adenovirus early proteins	med	medical
adenovirus vaccines	med	medical
adenylate cyclase toxin	med	medical
adenylate kinase	med	medical
adenylosuccinate lyase	med	medical
adenylosuccinate synthase	med	medical
adenylyl cyclase inhibitors	med	medical
adenylyl cyclases	med	medical
adenylyl imidodiphosphate	med	medical
adherence interventions	med	medical
