# fluera-dict v2 lang=en built=2026-05-20 sha256=dc1385f804beac7d7c769a7f55e6a6a6eefaa6548d7dd06b8c32830e043ab35f rows=54988
# schema=word,freq_rank,pos,domains,root,cefr,concrete,aoa,flags
word	freq_rank	pos	domains	root	cefr	concrete	aoa	flags
a	5	det	-	-	A1	1.15	2.50	-
aac	28802	prop	-	-	-	-	-	proper
aachen	46884	n	-	-	C2	-	-	-
aadmi	52125	prop	-	-	-	-	-	proper
aaliyah	48036	prop	-	-	-	-	-	proper
aam	37305	prop	-	-	C2	-	-	proper
aamir	45185	v	-	-	-	-	-	-
aan	51524	prop	-	-	-	-	-	proper
aang	40984	prop	-	-	-	-	-	proper
aap	15557	v	-	-	C1	2.50	13.00	-
aar	45768	n	-	-	C2	-	-	-
aarhus	48037	n	-	-	C2	-	-	-
aaron	4815	n	-	-	B2	3.10	6.00	-
aarp	39175	n	-	-	C2	-	-	-
aas	34762	n	-	aa	C2	-	-	inflected
aau	43489	prop	-	-	C2	-	-	proper
aba	19003	n	-	-	C1	-	-	-
ababa	30299	prop	-	-	C2	-	-	proper
aback	29152	adv	-	-	C2	-	-	-
abacus	44033	n	-	-	C2	-	-	-
abalone	43490	n	-	-	C2	-	-	-
abandon	6856	v	-	-	B1	1.90	10.00	-
abandoned	3594	v	-	abandon	B1	2.30	10.00	inflected
abandoning	14683	v	-	abandon	B1	2.10	9.00	inflected
abandonment	17065	n	-	-	B1	-	-	-
abandons	30300	v	-	abandon	B1	-	-	inflected
abate	42506	v	med	-	C2	-	-	-
abated	47445	v	-	abate	C2	-	-	inflected
abatement	40100	n	-	-	C2	-	-	-
abattoir	52747	n	med	-	C2	-	-	-
abb	38703	n	-	-	C2	-	-	-
abba	23736	n	-	-	C2	-	-	-
abbas	16837	prop	-	-	C1	-	-	proper
abbe	56560	n	-	-	C2	-	-	-
abbess	52748	n	med	-	C2	-	-	-
abbey	8506	n	-	-	C1	3.90	10.00	-
abbie	31423	n	-	-	C2	-	-	-
abbot	16395	n	-	-	C1	-	-	-
abbots	57195	n	-	abbot	C2	-	-	inflected
abbotsford	44034	prop	-	-	C2	-	-	proper
abbott	9840	prop	-	-	C1	2.60	9.00	proper
abbreviated	22561	v	-	abbreviate	C2	-	-	inflected
abbreviation	24070	n	-	-	C2	-	-	-
abbreviations	27351	n	med	abbreviation	C2	-	-	inflected
abby	13649	prop	-	-	C1	3.50	6.50	proper
abbé	54591	prop	-	-	-	-	-	proper
abc	4732	n	-	-	B2	3.00	5.00	-
abcd	57196	prop	-	-	-	-	-	proper
abcs	52749	n	-	abc	C1	-	-	inflected
abd	24071	prop	-	-	C2	-	-	proper
abdallah	50336	prop	-	-	-	-	-	proper
abdel	24969	prop	-	-	C2	-	-	proper
abdi	45186	n	-	-	-	-	-	-
abdicate	43491	v	-	-	C2	-	-	-
abdicated	48038	v	-	abdicate	C2	-	-	inflected
abdication	36847	n	-	-	C2	-	-	-
abdomen	13650	n	med	-	C1	4.40	10.50	-
abdominal	13276	n	-	-	C1	3.40	13.00	-
abduct	39664	v	-	-	C2	-	-	-
abducted	13651	v	-	abduct	C1	2.90	11.00	inflected
abducting	49747	v	-	abduct	C2	-	-	inflected
abduction	16396	n	-	-	C1	-	-	-
abductions	43012	n	-	abduction	C2	-	-	inflected
abductor	55213	n	-	-	C2	-	-	-
abdul	11827	n	-	-	C1	3.70	11.00	-
abdulaziz	55885	v	-	-	-	-	-	-
abdullah	14056	prop	-	-	-	3.50	9.50	proper
abe	12535	adj	-	-	C1	2.80	9.00	-
abed	35600	adv	-	-	C2	-	-	-
abel	15314	n	-	-	C1	3.20	10.00	-
aber	54592	prop	-	-	-	-	-	proper
abercrombie	29897	v	-	-	C2	-	-	-
aberdeen	9427	n	-	-	C1	3.20	11.00	-
aberdeenshire	32262	prop	-	-	C2	-	-	proper
abernathy	47446	prop	-	-	C2	-	-	proper
aberrant	41971	n	-	-	C2	-	-	-
aberration	29530	n	-	-	C2	-	-	-
aberrations	45187	n	-	aberration	C2	-	-	inflected
