# fluera llm-ratings v1 lang=en
# Model-estimated concreteness (1-5) + age-of-acquisition (years).
# Original generated data — NOT the Brysbaert/Kuperman empirical
# datasets. See assets/dictionaries/LICENSE.md.
# word\tconcrete\taoa
a	1.15	2.50
aap	2.50	13.00
aaron	3.10	6.00
abandon	1.90	10.00
abandoned	2.30	10.00
abandoning	2.10	9.00
abbey	3.90	10.00
abbott	2.60	9.00
abby	3.50	6.50
abc	3.00	5.00
abdomen	4.40	10.50
abdominal	3.40	13.00
abducted	2.90	11.00
abdul	3.70	11.00
abdullah	3.50	9.50
abe	2.80	9.00
abel	3.20	10.00
aberdeen	3.20	11.00
abide	1.60	13.00
abilities	1.90	10.00
ability	1.50	10.00
able	1.50	4.20
abnormal	1.90	11.00
aboard	3.10	8.00
abolish	1.80	12.00
abolished	1.90	12.00
abolition	1.80	13.00
aboriginal	2.70	12.00
abortion	2.70	13.00
abortions	3.00	13.00
about	1.30	3.50
above	2.00	4.50
abraham	3.30	8.00
abroad	2.30	10.00
abruptly	1.90	11.00
abs	3.90	10.00
absence	1.80	10.00
absent	2.10	9.00
absolute	1.60	11.00
absolutely	1.30	9.00
absorb	2.50	9.00
absorbed	2.20	10.00
absorbing	2.30	10.00
absorption	2.40	12.00
abstract	1.50	12.00
absurd	1.80	11.00
abu	3.20	11.00
abundance	2.20	12.00
abundant	2.00	12.00
abuse	2.30	10.50
abused	2.20	11.00
abuses	2.10	11.00
abusing	2.20	11.00
abusive	2.30	11.00
aca	2.60	13.00
academia	2.10	14.00
academic	1.90	12.00
academics	2.10	13.00
academy	3.00	11.00
acc	2.70	12.00
accelerate	2.30	12.00
accelerated	1.80	12.00
acceleration	2.30	12.00
accent	2.90	9.00
accents	3.00	10.00
accept	1.60	8.00
acceptable	1.80	10.00
acceptance	1.70	11.00
accepted	1.90	8.50
accepting	1.90	8.00
accepts	1.80	8.00
access	2.10	7.50
accessed	2.30	11.00
accessibility	1.90	12.00
accessible	2.20	11.00
accessing	2.10	11.00
accessories	3.50	11.00
accessory	3.40	12.00
accident	2.70	7.00
accidental	2.10	9.00
accidentally	1.90	7.00
accidents	3.10	6.00
acclaimed	1.80	13.00
accommodate	1.70	13.00
accommodation	3.10	13.00
accommodations	3.00	12.00
accompanied	2.10	10.00
accompany	1.80	10.00
accompanying	2.10	10.00
accomplish	1.70	10.00
accomplished	1.90	10.00
accomplishment	1.70	11.00
accomplishments	1.60	11.00
accord	1.70	12.00
accordance	1.50	13.00
according	1.40	7.00
accordingly	1.40	12.00
account	2.30	7.00
accountability	1.50	13.00
accountable	1.60	13.00
accountant	3.30	11.00
accountants	3.30	11.00
accounted	2.10	11.00
accounting	2.40	13.00
accounts	2.40	10.00
accreditation	2.10	14.50
accredited	1.90	14.00
accumulate	1.90	11.00
accumulated	1.90	12.00
accumulation	1.80	13.00
accuracy	1.90	11.00
accurate	1.70	10.50
accurately	1.60	11.00
accusation	1.80	11.00
accusations	2.30	12.00
accuse	2.00	10.00
accused	2.00	10.00
accusing	2.00	9.00
accustomed	1.80	12.00
ace	3.40	6.50
achieve	1.70	10.00
achieved	1.70	10.00
achievement	1.80	10.00
achievements	1.80	11.00
achieving	1.70	10.00
achilles	3.10	11.00
acid	3.70	10.00
acids	3.60	11.00
acknowledge	1.70	11.50
acknowledged	1.70	11.00
acknowledges	1.80	11.00
acknowledging	1.70	12.00
acne	3.90	11.00
acoustic	2.90	11.00
acquaintance	2.60	11.00
acquainted	1.90	11.00
acquire	2.00	11.50
acquired	1.90	12.00
acquiring	1.60	12.00
acquisition	2.00	13.00
acquisitions	2.10	14.00
acre	3.30	10.00
acres	3.50	9.00
across	1.80	4.50
act	2.20	5.50
acted	2.30	8.00
acting	2.20	7.00
action	2.30	5.50
actions	2.10	8.00
activate	1.90	10.00
activated	2.00	10.00
activation	2.20	12.00
active	2.00	9.00
actively	1.70	11.00
activism	1.90	13.00
activist	2.90	12.00
activists	2.90	12.00
activities	2.20	8.00
activity	2.00	8.00
actor	3.50	7.00
actors	3.60	8.00
actress	3.60	8.00
actresses	3.50	8.00
acts	2.00	8.50
actual	1.40	9.00
actually	1.30	4.20
acute	2.00	13.00
ad	2.80	8.00
ada	2.80	11.00
adam	3.30	5.00
adams	3.10	7.00
adapt	1.90	10.00
adaptation	1.80	12.00
adapted	2.10	11.00
adapter	3.90	11.00
adapting	1.90	10.00
adaptive	1.90	13.00
add	2.10	4.50
added	1.80	5.00
addict	3.10	12.00
addicted	2.50	10.00
addiction	2.40	11.00
addictive	2.10	11.00
addicts	2.90	11.00
adding	2.10	6.50
addison	3.20	10.00
addition	1.80	6.00
additional	1.50	10.00
additionally	1.60	12.00
additions	1.90	9.00
address	2.80	8.00
addressed	2.10	9.00
addresses	2.80	8.00
addressing	1.80	11.00
adds	1.90	6.00
adelaide	3.70	10.00
adequate	1.60	12.00
adequately	1.70	12.00
adhd	2.60	12.00
adhere	1.60	13.00
adidas	3.40	10.00
adjacent	2.40	12.00
adjoining	2.50	12.00
adjust	2.00	8.00
adjustable	3.10	11.00
adjusted	2.10	9.50
adjusting	2.10	10.00
adjustment	2.10	11.00
adjustments	2.10	11.00
admin	2.50	13.00
administer	2.10	12.50
administered	2.00	12.00
administration	1.90	12.00
administrative	1.70	13.00
administrator	3.40	12.00
administrators	3.10	13.00
admirable	1.80	12.00
admiral	3.80	10.00
admiration	1.60	11.00
admire	1.90	8.00
admired	2.10	9.00
admission	2.20	11.00
admissions	2.00	12.00
admit	1.70	9.00
admits	1.90	8.00
admitted	1.80	9.50
admittedly	1.70	12.00
admitting	1.70	9.00
adobe	3.40	11.00
adolescent	2.70	13.00
adolescents	3.30	13.00
adopt	2.40	9.00
adopted	2.30	9.00
adopting	1.80	10.00
adoption	2.30	10.00
adorable	2.20	8.00
adore	2.00	8.00
adrenaline	3.10	12.00
adrian	3.20	8.00
ads	3.40	8.00
adult	3.00	8.00
adulthood	2.10	11.00
adults	3.50	6.00
advance	2.20	9.50
advanced	1.80	10.00
advancement	1.60	12.00
advances	2.10	10.00
advancing	2.30	11.00
advantage	1.60	10.00
advantages	1.90	8.50
advent	2.00	13.00
adventure	2.60	6.00
adventures	2.80	6.00
adventurous	2.00	9.00
adverse	1.90	13.00
advertise	2.40	11.00
advertised	2.20	10.00
advertisement	3.20	10.00
advertisements	3.00	10.00
advertisers	2.70	13.00
advertising	2.50	11.00
advice	1.70	9.00
advise	1.90	9.50
advised	1.90	9.50
adviser	3.00	12.00
advisers	2.90	12.00
advising	1.90	12.00
advisor	3.10	12.00
advisors	3.00	13.00
advisory	1.90	12.00
advocacy	1.80	14.00
advocate	2.10	13.00
advocated	1.90	13.00
advocates	2.20	13.00
advocating	1.70	13.00
aerial	2.90	12.00
aerospace	3.20	13.00
aesthetic	1.70	14.00
aesthetics	1.70	14.00
afc	2.80	12.00
affair	2.20	12.00
affairs	1.90	11.00
affect	1.80	9.50
affected	1.90	9.00
affecting	1.70	10.00
affection	1.80	9.00
affects	1.90	9.00
affiliate	2.50	13.00
affiliated	1.90	13.00
affiliates	2.30	13.00
affiliation	1.70	14.00
affinity	1.70	14.00
affirmative	1.80	14.00
afford	1.80	9.00
affordable	2.00	11.00
afghan	3.20	11.00
afghanistan	3.50	11.00
afl	2.40	12.00
aforementioned	1.70	14.00
afraid	1.90	5.00
africa	4.00	7.00
african	3.00	7.00
africans	3.10	9.00
after	1.55	3.40
aftermath	2.10	12.00
afternoon	2.90	5.00
afterward	1.90	8.00
afterwards	1.50	8.00
again	1.50	3.40
against	1.60	4.20
age	2.10	5.00
aged	2.50	8.00
agencies	2.60	11.00
agency	2.20	11.00
agenda	2.10	12.00
agent	2.80	10.00
agents	2.90	10.00
ages	2.30	7.00
aggravated	2.00	12.00
aggregate	2.00	13.00
aggression	2.10	11.00
aggressive	2.40	9.00
aggressively	1.90	11.00
aging	2.10	9.00
agnes	2.90	8.00
ago	1.50	4.00
agony	2.30	11.00
agree	1.70	7.00
agreed	1.60	8.00
agreeing	1.80	8.00
agreement	1.70	10.00
agreements	2.00	10.50
agrees	1.60	7.00
agricultural	2.70	13.00
agriculture	2.90	12.00
ah	1.40	4.00
aha	1.80	5.50
ahead	2.00	4.50
ahh	1.60	5.00
ahmad	3.70	11.00
ahmed	3.30	9.00
aid	2.10	9.00
aide	2.80	12.00
aided	1.90	10.00
aids	3.10	11.00
aim	2.20	8.00
aimed	2.40	8.00
aiming	2.50	8.00
